ID,Jenis Kelamin,Nilai rata-rata SMP,Lembaga pendidikan kelas 10,Nilai rata-rata SMA,Lembaga pendidikan kelas 12,Jurusan saat SMA,IPK,Program studi sarjana,Pengalaman kerja sebelum lulus,Nilai tes kemampuan kerja,Pendidikan pascasarjana,Nilai rata-rata pascasarjana,status kelulusan (Bekerja/Belum),Gaji
1,M,67,Internasional,91,Internasional,Commerce,58,Sci&Tech,No,55,Mkt&HR,58.8,Placed,5400000
2,M,79.33,Negeri,78.33,Negeri,Science,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Placed,4000000
3,M,65,Negeri,68,Swasta,Arts,64,Comm&Mgmt,No,75,Mkt&Fin,57.8,Placed,5000000
4,M,56,Negeri,52,Swasta,Science,52,Sci&Tech,No,66,Mkt&HR,59.43,Not Placed,
5,M,85.8,Negeri,73.6,Negeri,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Placed,8500000
6,M,55,Swasta,49.8,Swasta,Science,67.25,Sci&Tech,Yes,55,Mkt&Fin,51.58,Not Placed,
7,F,46,Swasta,49.2,Swasta,Commerce,79,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,Not Placed,
8,M,82,Negeri,64,Negeri,Science,66,Sci&Tech,Yes,67,Mkt&Fin,62.14,Placed,5040000
9,M,73,Negeri,79,Negeri,Commerce,72,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Placed,4620000
10,M,58,Negeri,70,Swasta,Commerce,61,Comm&Mgmt,No,54,Mkt&Fin,52.21,Not Placed,
11,M,58,Negeri,61,Negeri,Commerce,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,Placed,5200000
12,M,69.6,Negeri,68.4,Negeri,Commerce,78.3,Comm&Mgmt,Yes,60,Mkt&Fin,63.7,Placed,5000000
13,Female,47,Negeri,55,Swasta,Science,65,Comm&Mgmt,No,62,Mkt&HR,65.04,Not Placed,
14,F,77,Negeri,87,Negeri,Commerce,59,Comm&Mgmt,No,,Mkt&Fin,68.63,Placed,4360000
15,M,62,Negeri,47,Swasta,Commerce,50,Comm&Mgmt,No,76,Mkt&HR,54.96,Not Placed,
16,F,65,Negeri,75,Negeri,Commerce,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,Placed,4000000
17,M,63,Negeri,66.2,Internasional,Commerce,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,Placed,6000000
18,F,55,Negeri,67,Swasta,Commerce,64,Comm&Mgmt,No,60,Mkt&Fin,67.28,Not Placed,
19,F,63,Negeri,66,Swasta,Commerce,64,Comm&Mgmt,No,68,Mkt&HR,64.08,Not Placed,
20,Male,60,Internasional,,Internasional,Arts,70,Comm&Mgmt,Yes,50.48,Mkt&Fin,77.89,Placed,4720000
21,M,62,Internasional,65,Internasional,Commerce,66,Comm&Mgmt,No,50,Mkt&HR,56.7,Placed,5300000
22,F,,Internasional,76,Internasional,Commerce,85,Comm&Mgmt,No,95,Mkt&Fin,69.06,Placed,7860000
23,F,69.8,Internasional,60.8,Internasional,Science,72.23,Sci&Tech,No,,Mkt&HR,68.81,Placed,7200000
24,,77.4,Internasional,60,Internasional,Science,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,Placed,6000000
25,Male,76.5,Internasional,97.7,Internasional,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,Placed,7200000
26,F,52.58,Swasta,54.6,Swasta,Commerce,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,Not Placed,
27,M,71,Swasta,79,Swasta,Commerce,66,Comm&Mgmt,Yes,94,Mkt&Fin,57.55,Placed,4800000
28,M,63,Swasta,67,Swasta,Commerce,66,Comm&Mgmt,No,68,Mkt&HR,57.69,Placed,5300000
29,M,76.76,Internasional,76.5,Internasional,Commerce,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,64.15,Placed,7000000
30,M,62,Negeri,67,Swasta,Commerce,58,Comm&Mgmt,No,77,Mkt&Fin,51.29,Not Placed,
31,F,64,Negeri,73.5,Negeri,Commerce,73,Comm&Mgmt,No,52,Mkt&HR,56.7,Placed,5000000
32,F,67,Negeri,53,Swasta,Science,65,Sci&Tech,No,64,Mkt&HR,58.32,Not Placed,
33,F,61,Negeri,81,Negeri,Commerce,66.4,Comm&Mgmt,No,50.89,Mkt&HR,62.21,Placed,5560000
34,F,87,Internasional,65,Internasional,Science,81,Comm&Mgmt,Yes,88,Mkt&Fin,72.78,Placed,5200000
35,M,,Swasta,51,Swasta,Science,52,Others,No,68.44,Mkt&HR,62.77,Not Placed,
36,F,69,Negeri,78,Negeri,Commerce,72,Comm&Mgmt,No,71,Mkt&HR,62.74,Placed,6000000
37,M,51,Negeri,44,Swasta,Commerce,57,Comm&Mgmt,No,64,Mkt&Fin,51.45,Not Placed,
38,F,79,Negeri,76,Negeri,Science,65.6,Sci&Tech,No,58,Mkt&HR,55.47,Placed,6400000
39,F,73,Swasta,58,Swasta,Science,66,Comm&Mgmt,No,53.7,Mkt&HR,56.86,Placed,4800000
40,M,81,Internasional,68,Internasional,Science,64,Sci&Tech,No,93,Mkt&Fin,62.56,Placed,8220000
41,F,78,Negeri,77,Negeri,Commerce,80,Comm&Mgmt,No,60,Mkt&Fin,66.72,Placed,5740000
42,F,74,Swasta,63.16,Swasta,Commerce,65,Comm&Mgmt,Yes,65,Mkt&HR,69.76,Not Placed,
43,M,49,Swasta,39,Swasta,Science,65,Others,No,63,Mkt&Fin,51.21,Not Placed,
44,M,87,Swasta,87,Swasta,Commerce,68,Comm&Mgmt,No,95,Mkt&HR,62.9,Placed,6000000
45,F,77,Swasta,73,Swasta,Commerce,81,Comm&Mgmt,Yes,,Mkt&Fin,69.7,Placed,4000000
46,F,76,Negeri,64,Negeri,Science,72,Sci&Tech,No,58,Mkt&HR,66.53,Not Placed,
47,F,70.89,Internasional,71.98,Internasional,Science,65.6,Comm&Mgmt,No,68,Mkt&HR,71.63,Not Placed,
48,M,63,Negeri,60,Negeri,Commerce,57,Comm&Mgmt,Yes,78,Mkt&Fin,54.55,Placed,4080000
49,M,63,Swasta,62,Swasta,Commerce,68,Comm&Mgmt,No,64,Mkt&Fin,62.46,Placed,5000000
50,F,50,Swasta,37,Swasta,Arts,52,Others,No,65,Mkt&HR,56.11,Not Placed,
51,F,75.2,Negeri,73.2,Negeri,Science,68.4,Comm&Mgmt,No,65,Mkt&HR,62.98,Placed,4000000
52,M,54.4,Negeri,61.12,Negeri,Commerce,56.2,Comm&Mgmt,No,67,Mkt&HR,62.65,Not Placed,
53,F,40.89,Swasta,45.83,Swasta,Commerce,53,Comm&Mgmt,No,71.2,Mkt&HR,65.49,Not Placed,
54,M,80,Swasta,70,Swasta,Science,72,Sci&Tech,No,87,Mkt&HR,71.04,Placed,9000000
